title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f1_lexical_only,f1_konjunktiv_ii_only,f1_no_generic_verbs,f1_strong_uncertainty_only,f1_lexical_count,f1_konjunktiv_ii_count,f1_no_generic_count,f1_strong_uncertainty_count
"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",0,contested,geography,5111,565,1.1739385638818234,1.1739385638818234,0.0,1.1739385638818234,0.9782821365681863,6,0,6,5
Wälder und Wiesen bei Malsch,1,stable,geography,4405,804,0.681044267877412,0.681044267877412,0.0,0.4540295119182747,0.22701475595913734,3,0,2,1
Institut für Zeitgeschichte,0,contested,geography,3634,7983,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Urnenfelderkultur,1,stable,geography,3438,8134,2.9086678301337985,2.326934264107039,0.5817335660267597,2.326934264107039,1.4543339150668992,8,2,6,5
Humanitäre Intervention,0,contested,politics_history,2407,8070,1.2463647694225177,1.2463647694225177,0.0,1.2463647694225177,0.8309098462816784,3,0,3,2
Projekt A119,1,stable,politics_history,2352,8033,0.8503401360544217,0.0,0.8503401360544217,0.8503401360544217,0.0,0,2,0,0
Weltraumhabitat,0,contested,science,4891,5444,7.5649151502760175,0.8178286648947045,6.747086485381312,7.5649151502760175,0.40891433244735226,4,33,4,2
Raffinerieexplosion in Texas City,1,stable,science,4849,5195,0.20622808826562178,0.20622808826562178,0.0,0.0,0.0,1,0,0,0
Klassenpolitik,0,contested,politics_history,2527,5247,1.187178472497032,1.187178472497032,0.0,1.187178472497032,0.3957261574990107,3,0,3,1
Tabernae (Rheinzabern),1,stable,politics_history,2493,5545,1.604492579221821,1.203369434416366,0.40112314480545525,1.203369434416366,0.40112314480545525,3,1,2,1
Kennedy-Methode,0,contested,science,2231,7211,0.44822949350067237,0.0,0.44822949350067237,0.44822949350067237,0.0,0,1,0,0
Galle,1,stable,science,2257,7649,0.44306601683650865,0.44306601683650865,0.0,0.44306601683650865,0.44306601683650865,1,0,1,1
Tiroler Festspiele Erl,0,contested,culture,2212,5566,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Slughorn,1,stable,culture,2067,5642,4.354136429608127,3.386550556361877,0.9675858732462506,4.354136429608127,1.4513788098693758,7,2,7,3
Heinrich von Brentano,0,contested,culture,1727,8229,0.5790387955993052,0.5790387955993052,0.0,0.5790387955993052,0.5790387955993052,1,0,1,1
Geschmackliche Schärfe,1,stable,culture,1890,8128,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Bulgarische Wiedergeburt,0,contested,geography,4416,7138,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Elisabeth von Weida,1,stable,geography,4396,7118,4.3221110100091,3.867151956323931,0.45495905368516837,3.1847133757961785,2.0473157415832577,17,2,12,9
Schulweg,0,contested,politics_history,1634,7342,0.6119951040391677,0.6119951040391677,0.0,0.0,0.0,1,0,0,0
Operation Earnest Will,1,stable,politics_history,1676,7322,0.5966587112171838,0.5966587112171838,0.0,0.5966587112171838,0.5966587112171838,1,0,1,1
Lindisfarne Castle,0,contested,geography,1782,7600,1.6835016835016834,1.6835016835016834,0.0,0.5611672278338945,0.5611672278338945,3,0,1,1
Eliezer Ben-Jehuda,1,stable,geography,1931,7577,0.5178663904712584,0.5178663904712584,0.0,0.5178663904712584,0.5178663904712584,1,0,1,1
Apadravya,0,contested,science,2037,7570,1.4727540500736376,0.9818360333824251,0.49091801669121254,1.4727540500736376,0.0,2,1,2,0
Laufhühnchen,1,stable,science,1999,7514,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Spervogelton,0,contested,culture,3667,5740,7.908371966184892,5.181347150259067,2.727024815925825,7.63566948459231,1.636214889555495,19,10,18,6
Year Zero,1,stable,culture,3494,5529,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MHealth,0,contested,science,3078,3992,2.599090318388564,0.649772579597141,1.949317738791423,2.599090318388564,0.0,2,6,2,0
Fraktursonografie,1,stable,science,3136,4153,1.2755102040816326,1.2755102040816326,0.0,1.2755102040816326,0.31887755102040816,4,0,4,1
Sozionik und intertypische Beziehungen,0,contested,science,8239,7440,0.8496176720475787,0.6068697657482705,0.24274790629930817,0.48549581259861635,0.24274790629930817,5,2,2,2
Porsche 930,1,stable,science,6837,7511,0.1462629808395495,0.1462629808395495,0.0,0.1462629808395495,0.0,1,0,1,0
Bürgerversicherung,0,contested,geography,1641,8330,0.6093845216331506,0.6093845216331506,0.0,0.6093845216331506,0.0,1,0,1,0
Grunewaldsee,1,stable,geography,1514,7961,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Kuno Raeber,0,contested,culture,1776,6648,0.5630630630630631,0.5630630630630631,0.0,0.0,0.0,1,0,0,0
Garfield Akers,1,stable,culture,1516,7209,1.978891820580475,1.978891820580475,0.0,1.978891820580475,1.978891820580475,3,0,3,3
Wandervogel,0,contested,geography,7752,7632,0.38699690402476783,0.38699690402476783,0.0,0.38699690402476783,0.12899896800825592,3,0,3,1
Ziehenschule,1,stable,geography,7411,7637,1.2144110106598298,0.9445418971798677,0.26986911347996223,1.079476453919849,0.13493455673998112,7,2,6,1
GS1,0,contested,politics_history,2105,6574,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Seawolf (U-Boot, 1957)",1,stable,politics_history,2077,6750,0.48146364949446313,0.0,0.48146364949446313,0.48146364949446313,0.0,0,1,0,0
Franz Ruppert,0,contested,culture,3026,4336,1.6523463317911435,0.9914077990746861,0.6609385327164573,1.3218770654329146,0.33046926635822865,3,2,2,1
Wilhelm Kühnert,1,stable,culture,3270,4915,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Sanktuarium der Barmherzigkeit Gottes,0,contested,culture,3222,4935,0.31036623215394166,0.31036623215394166,0.0,0.0,0.0,1,0,0,0
GateKeeper (Cedar Point),1,stable,culture,3262,5010,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Disneyland Park (Paris),0,contested,culture,6462,4414,0.1547508511296812,0.1547508511296812,0.0,0.1547508511296812,0.1547508511296812,1,0,1,1
Ismar Boas,1,stable,culture,6046,4441,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Entführung von Michal Kováč jun.,0,contested,geography,3140,4964,1.2738853503184713,0.6369426751592356,0.6369426751592356,1.2738853503184713,0.0,2,2,2,0
East Brother Light Station,1,stable,geography,3236,4822,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Wiktor Juschtschenko,0,contested,geography,2728,7813,0.36656891495601174,0.36656891495601174,0.0,0.36656891495601174,0.0,1,0,1,0
Bremer Wappen,1,stable,geography,2799,7563,0.7145409074669524,0.7145409074669524,0.0,0.7145409074669524,0.0,2,0,2,0
International Christian Fellowship,0,contested,geography,4062,5032,0.4923682914820286,0.4923682914820286,0.0,0.0,0.0,2,0,0,0
Gresgen,1,stable,geography,3968,5156,1.0080645161290323,0.7560483870967741,0.25201612903225806,1.0080645161290323,0.25201612903225806,3,1,3,1
Uniface,0,contested,science,3193,8031,0.9395552771688068,0.9395552771688068,0.0,0.9395552771688068,0.0,3,0,3,0
Wiesenweihe,1,stable,science,3411,7967,1.1726766344180592,0.8795074758135445,0.2931691586045148,1.1726766344180592,0.0,3,1,3,0
Mary Baker Eddy,0,contested,culture,1555,8101,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Gerrard Winstanley,1,stable,culture,1522,7732,1.314060446780552,0.657030223390276,0.657030223390276,1.314060446780552,0.0,1,1,1,0
Dorje Shugden,0,contested,culture,3353,6448,0.894721145243066,0.894721145243066,0.0,0.29824038174768863,0.29824038174768863,3,0,1,1
Britische Mount-Everest-Expedition 1922,1,stable,culture,3215,6594,0.9331259720062208,0.9331259720062208,0.0,0.9331259720062208,0.6220839813374806,3,0,3,2
Nichtregierungsorganisation,0,contested,politics_history,6021,5427,0.4982561036372695,0.33217073575817974,0.16608536787908987,0.33217073575817974,0.16608536787908987,2,1,1,1
Straßenbahn München Baureihe R,1,stable,politics_history,5812,5115,0.6882312456985547,0.6882312456985547,0.0,0.6882312456985547,0.0,4,0,4,0
HolidayCheck Group,0,contested,geography,2018,6426,0.0,0.0,0.0,0.0,0.0,0,0,0,0
