Variant,Column,Contested mean,Stable mean,Percent difference,NaN rate,n_pairs,pct_contested_higher,wilcoxon_p,effect_r,logistic_coefficient,macro_f1_with_feature_topic,macro_f1_topic_baseline,macro_f1_contribution,n_model_rows
Original F1 recomputed,f1_original_recomputed,0.8261666545511358,1.0637893935622285,-22.337385597727202,0.0,142,42.95774647887324,0.28760603383315464,0.187043488427611,0.18750430669122878,0.5066185525934512,0.4220813198940707,0.08453723269938052,284
Lexical-only,f1_lexical_only,0.6111848718867775,0.8744553013294374,-30.10679090644668,0.0,142,41.54929577464789,0.17905992725114284,0.2586480765054265,0.2813674190573568,0.48058086238803605,0.4220813198940707,0.05849954249396533,284
Konjunktiv-II-only,f1_konjunktiv_ii_only,0.21498178266435822,0.18933409223279107,13.546261000142568,0.0,142,26.76056338028169,0.37491364114565484,0.5898406581159429,-0.04813795508360987,0.4324056105185138,0.4220813198940707,0.010324290624443067,284
Remove generic verbs,f1_no_generic_verbs,0.7144497142730252,0.970935438882464,-26.416352115078585,0.0,142,40.845070422535215,0.14149963086706374,0.23814079591034806,0.21594194836709008,0.49133504309899934,0.4220813198940707,0.06925372320492862,284
Strong uncertainty only,f1_strong_uncertainty_only,0.20355394227946183,0.4571547707566262,-55.47373540534165,0.0,142,26.76056338028169,0.0009745193065127189,0.6180381689341757,0.5767728683305521,0.5502740033483676,0.4220813198940707,0.1281926834542969,284
