feature,contested_title,stable_title,contested_value,stable_value,diff
f2_hyland_only,Evolutionärer Humanismus,Ästhetische Theorie,0.7552870090634441,0.3787878787878788,0.37649913027556536
f2_hyland_only,Franz Eibel,Wieladingen (Adelsgeschlecht),0.0,0.5681818181818181,-0.5681818181818181
f2_hyland_only,Fluglärm,Spezielle Relativitätstheorie,0.0,0.5899705014749262,-0.5899705014749262
f2_hyland_only,Armenisch-iranische Beziehungen,Absturz einer MiG-21 in Cottbus 1975,3.2102728731942216,0.0,3.2102728731942216
f2_hyland_only,Geschichte der Volksrepublik China,Neukirchen (Gemeinde Altmünster),0.0,0.3839508542906508,-0.3839508542906508
f2_hyland_only,Karl Haushofer,Jüdisches Museum Westfalen,0.0,0.2892681515765114,-0.2892681515765114
f2_hyland_only,Mobile Jugendarbeit,Mayaguez-Zwischenfall,0.3762227238525207,0.0,0.3762227238525207
f2_hyland_only,Elektrokonvulsionstherapie,Spirostachys africana,0.0,0.0,0.0
f2_hyland_only,Westdeutsche Studentenbewegung der 1960er Jahre,Schloss Beuggen,0.16028209648982208,0.3948667324777887,-0.2345846359879666
f2_hyland_only,Ernst Melchior,Vincenz Grimm,0.9049773755656109,0.0,0.9049773755656109
f2_hyland_only,Backhefe,Wellensittich,0.0,0.6002400960384153,-0.6002400960384153
f2_hyland_only,Multikulturalismus,Jiang Wei,0.0,0.0,0.0
f2_hyland_only,Zeitfreiwilligenverband,Soo Line High Bridge,0.0,0.0,0.0
f2_hyland_only,Witness Lee,Curling,0.0,0.0,0.0
f2_hyland_only,Alois Windisch,U-Boot mit Marschflugkörpern,0.0,0.0,0.0
f2_hyland_only,GEMA-freie Musik,Landmine,0.0,0.2669514148424986,-0.2669514148424986
f2_hyland_only,Tuileriensturm,Christian Precht,0.0,1.3218770654329146,-1.3218770654329146
f2_hyland_only,Beichte,Francis Bacon,0.6743088334457181,0.350754121360926,0.32355471208479214
f2_hyland_only,Liber AL vel Legis,Picket Fences – Tatort Gartenzaun,0.1709986320109439,0.4825090470446321,-0.3115104150336882
f2_hyland_only,"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",Wälder und Wiesen bei Malsch,0.0,0.4132231404958678,-0.4132231404958678
f2_hyland_only,Institut für Zeitgeschichte,Urnenfelderkultur,0.0,0.0,0.0
f2_hyland_only,Humanitäre Intervention,Projekt A119,0.0,0.0,0.0
f2_hyland_only,Weltraumhabitat,Raffinerieexplosion in Texas City,0.0,0.0,0.0
f2_hyland_only,Klassenpolitik,Tabernae (Rheinzabern),0.5060728744939271,0.47709923664122134,0.02897363785270579
f2_hyland_only,Kennedy-Methode,Galle,0.468384074941452,0.0,0.468384074941452
f2_hyland_only,Tiroler Festspiele Erl,Slughorn,0.0,0.0,0.0
f2_hyland_only,Heinrich von Brentano,Geschmackliche Schärfe,0.0,0.0,0.0
f2_hyland_only,Bulgarische Wiedergeburt,Elisabeth von Weida,0.3687315634218289,0.0,0.3687315634218289
f2_hyland_only,Schulweg,Operation Earnest Will,2.4489795918367347,0.0,2.4489795918367347
f2_hyland_only,Lindisfarne Castle,Eliezer Ben-Jehuda,0.930232558139535,0.0,0.930232558139535
f2_hyland_only,Apadravya,Laufhühnchen,0.0,0.0,0.0
f2_hyland_only,Spervogelton,Year Zero,0.5934718100890207,0.5333333333333333,0.0601384767556874
f2_hyland_only,MHealth,Fraktursonografie,0.0,0.0,0.0
f2_hyland_only,Sozionik und intertypische Beziehungen,Porsche 930,0.7665772326561902,0.0,0.7665772326561902
f2_hyland_only,Bürgerversicherung,Grunewaldsee,1.7006802721088434,0.78125,0.9194302721088434
f2_hyland_only,Kuno Raeber,Garfield Akers,0.0,0.0,0.0
