feature,contested_title,stable_title,contested_value,stable_value,diff
f3_original_recomputed,Evolutionärer Humanismus,Ästhetische Theorie,5.450236966824645,4.704652378463147,0.7455845883614973
f3_original_recomputed,Franz Eibel,Wieladingen (Adelsgeschlecht),2.4009603841536613,0.0,2.4009603841536613
f3_original_recomputed,Fluglärm,Spezielle Relativitätstheorie,3.5299476201320883,2.3816195012608574,1.1483281188712309
f3_original_recomputed,Armenisch-iranische Beziehungen,Absturz einer MiG-21 in Cottbus 1975,0.6269592476489029,0.544069640914037,0.0828896067348659
f3_original_recomputed,Geschichte der Volksrepublik China,Neukirchen (Gemeinde Altmünster),2.5510204081632653,2.01315259696685,0.5378678111964152
f3_original_recomputed,Karl Haushofer,Jüdisches Museum Westfalen,2.435064935064935,1.4453850918851952,0.9896798431797398
f3_original_recomputed,Mobile Jugendarbeit,Mayaguez-Zwischenfall,2.229299363057325,2.196422968308754,0.032876394748570625
f3_original_recomputed,Elektrokonvulsionstherapie,Spirostachys africana,0.8726003490401396,0.0,0.8726003490401396
f3_original_recomputed,Westdeutsche Studentenbewegung der 1960er Jahre,Schloss Beuggen,3.873380526245492,1.0954402300424482,2.777940296203044
f3_original_recomputed,Ernst Melchior,Vincenz Grimm,1.550387596899225,1.467710371819961,0.082677225079264
f3_original_recomputed,Backhefe,Wellensittich,2.1908471275559886,1.7438963627304436,0.4469507648255451
f3_original_recomputed,Multikulturalismus,Jiang Wei,4.928536224741252,2.00300450676014,2.925531717981112
f3_original_recomputed,Zeitfreiwilligenverband,Soo Line High Bridge,2.268859897901305,1.6357688113413305,0.6330910865599744
f3_original_recomputed,Witness Lee,Curling,5.543901708121067,1.6224188790560472,3.9214828290650194
f3_original_recomputed,Alois Windisch,U-Boot mit Marschflugkörpern,0.0,0.5485463521667581,-0.5485463521667581
f3_original_recomputed,GEMA-freie Musik,Landmine,2.2722108611679164,4.1551246537396125,-1.882913792571696
f3_original_recomputed,Tuileriensturm,Christian Precht,4.573170731707317,3.138731952291274,1.434438779416043
f3_original_recomputed,Beichte,Francis Bacon,3.0585106382978724,4.781324708198566,-1.7228140699006937
f3_original_recomputed,Liber AL vel Legis,Picket Fences – Tatort Gartenzaun,2.5979893821303515,3.1217481789802286,-0.5237587968498771
f3_original_recomputed,"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",Wälder und Wiesen bei Malsch,2.934846409704559,0.9080590238365494,2.0267873858680097
f3_original_recomputed,Institut für Zeitgeschichte,Urnenfelderkultur,3.026967528893781,2.326934264107039,0.7000332647867422
f3_original_recomputed,Humanitäre Intervention,Projekt A119,4.154549231408392,1.2755102040816326,2.8790390273267596
f3_original_recomputed,Weltraumhabitat,Raffinerieexplosion in Texas City,6.542629319157636,1.6498247061249742,4.892804613032662
f3_original_recomputed,Klassenpolitik,Tabernae (Rheinzabern),5.54016620498615,6.016847172081829,-0.4766809670956791
f3_original_recomputed,Kennedy-Methode,Galle,4.482294935006723,3.1014621178555606,1.3808328171511626
f3_original_recomputed,Tiroler Festspiele Erl,Slughorn,2.2603978300180834,2.4189646831156266,-0.15856685309754326
f3_original_recomputed,Heinrich von Brentano,Geschmackliche Schärfe,0.5790387955993052,1.0582010582010584,-0.4791622626017532
f3_original_recomputed,Bulgarische Wiedergeburt,Elisabeth von Weida,1.358695652173913,2.0473157415832577,-0.6886200894093446
f3_original_recomputed,Schulweg,Operation Earnest Will,4.283965728274174,3.579952267303103,0.7040134609710709
f3_original_recomputed,Lindisfarne Castle,Eliezer Ben-Jehuda,1.122334455667789,2.589331952356292,-1.466997496688503
f3_original_recomputed,Apadravya,Laufhühnchen,2.454590083456063,3.501750875437719,-1.0471607919816561
