Variant,Column,Contested mean,Stable mean,Percent difference,NaN rate,n_pairs,pct_contested_higher,wilcoxon_p,effect_r,logistic_coefficient,macro_f1_with_feature_topic,macro_f1_topic_baseline,macro_f1_contribution,n_model_rows
Attribution + evaluative + Konjunktiv-I,f3_attribution_plus_evaluative,0.8168118375522508,0.5700789582502571,43.280474625214374,0.0,142,50.0,0.06886801455447462,0.2928268774972238,-0.29148540509895743,0.5406051734253705,0.4220813198940707,0.1185238535312998,284
Original F3 recomputed,f3_original_recomputed,2.440155794666203,2.0523658950705053,18.89477409160651,0.0,142,61.97183098591549,0.014826192951340364,0.2044746769334277,-0.26739951039113913,0.5297854811871314,0.4220813198940707,0.10770416129306071,284
Konjunktiv-I only,f3_konjunktiv_i_only,0.6731264222596421,0.4615583068739213,45.83778729068235,0.0,142,45.07042253521127,0.05963727332656929,0.39604685649245186,-0.27977295878430614,0.5295999979719133,0.4220813198940707,0.10751867807784254,284
Remove generic quantifiers,f3_no_generic_quantifiers,1.2580371566961626,0.9541014974184764,31.855694575628647,0.0,142,56.33802816901409,0.024287904656225545,0.24873622421780528,-0.3088388420470661,0.5288762851618141,0.4220813198940707,0.10679496526774335,284
Vague quantifiers only,f3_vague_quantifiers_only,1.623343957113952,1.4822869368202485,9.516175086932396,0.0,142,55.633802816901415,0.1639512414148805,0.11680605238946747,-0.12487536562272031,0.5069768659106018,0.4220813198940707,0.08489554601653104,284
Lexical-only,f3_lexical_only,1.7670293724065607,1.590807588196584,11.077504621346138,0.0,142,56.33802816901409,0.11381096656460354,0.13269919485065323,-0.14844625489022334,0.48858730236263825,0.4220813198940707,0.06650598246856754,284
Evaluative/puffery only,f3_evaluative_puffery_only,0.11308340498584968,0.09484261451211033,19.23269447520688,0.0,142,23.239436619718308,0.6028517699636111,0.7082702035525207,-0.08819902190683238,0.437023226736585,0.4220813198940707,0.014941906842514285,284
Vague attribution only,f3_vague_attribution_only,0.030602010306759058,0.013678036864225345,123.73100301760425,0.0,142,7.746478873239436,0.21453736472050733,0.8578024578916341,-0.18281847659363765,0.4201132862341617,0.4220813198940707,-0.0019680336599089965,284
