"threshold","variant","status","sentiws_positive_path","sentiws_negative_path","sentiws_files_available","sentiws_terms","combined_terms","article_scores_recomputed","matched_pair_differences_recomputed","direction_of_effect","contested_mean","stable_mean","percent_difference","wilcoxon_p","holm_adjusted_p","effect_size_r","non_missing_observations","coverage_rate","n_pairs","notes"
"0.0","Hyland + SentiWS threshold sweep","not_computable_missing_sentiws","data/external/sentiws/SentiWS_v2.0_Positive.txt","data/external/sentiws/SentiWS_v2.0_Negative.txt","false","NA","NA","false","false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SentiWS scored lexicon files are absent from the current repository state; threshold-specific marker set cannot be reconstructed."
"0.1","Hyland + SentiWS threshold sweep","not_computable_missing_sentiws","data/external/sentiws/SentiWS_v2.0_Positive.txt","data/external/sentiws/SentiWS_v2.0_Negative.txt","false","NA","NA","false","false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SentiWS scored lexicon files are absent from the current repository state; threshold-specific marker set cannot be reconstructed."
"0.2","Hyland + SentiWS threshold sweep","not_computable_missing_sentiws","data/external/sentiws/SentiWS_v2.0_Positive.txt","data/external/sentiws/SentiWS_v2.0_Negative.txt","false","NA","NA","false","false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SentiWS scored lexicon files are absent from the current repository state; threshold-specific marker set cannot be reconstructed."
"0.3","Hyland + SentiWS threshold sweep","not_computable_missing_sentiws","data/external/sentiws/SentiWS_v2.0_Positive.txt","data/external/sentiws/SentiWS_v2.0_Negative.txt","false","NA","NA","false","false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SentiWS scored lexicon files are absent from the current repository state; threshold-specific marker set cannot be reconstructed."
"0.5","Hyland + SentiWS threshold sweep; current notebook threshold","not_computable_missing_sentiws","data/external/sentiws/SentiWS_v2.0_Positive.txt","data/external/sentiws/SentiWS_v2.0_Negative.txt","false","NA","NA","false","false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Current notebook threshold is |weight| >= 0.5, but SentiWS scored lexicon files are absent from the current repository state."
"NA","Hyland-only fallback from existing F2 robustness audit","computed_no_sentiws","NA","NA","false","0","58","true","true","stable > contested","0.263307","0.318211","-17.253859","0.595863","NA","0.532762","284","1.0","142","Not a SentiWS threshold result; included only as available context because Hyland-only does not depend on SentiWS scores."
