title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count
Disneyland Park (Paris),0,contested,culture,Culture.Media.Media*,de,1.0705,0.0516,17,28,26,4414,0.2,0,37,1,6462
Ismar Boas,1,stable,culture,Culture.Biography.Biography*,de,0.6796,0.0082,118,25,68,4441,0.012,0,4099,10,6046
Entführung von Michal Kováč jun.,0,contested,geography,Geography.Regions.Europe.Eastern_Europe,de,3.753,0.0,12,19,32,4964,0.169,0,170,2,3140
East Brother Light Station,1,stable,geography,Geography.Regions.Americas.North_America,de,0.0,0.0179,17,13,33,4822,0.016,0,1202,7,3236
Wiktor Juschtschenko,0,contested,geography,Geography.Regions.Europe.Eastern_Europe,de,1.9474,0.0072,35,12,306,7813,0.024,0,4451,30,2728
Bremer Wappen,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,0.876,0.0349,28,12,163,7563,0.019,0,3119,31,2799
International Christian Fellowship,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,1.6885,0.0602,80,17,213,5032,0.024,0,13186,11,4062
Gresgen,1,stable,geography,Geography.Regions.Europe.Western_Europe,de,0.3601,0.0422,60,24,55,5156,0.037,0,1985,8,3968
Uniface,0,contested,science,STEM.STEM*,de,0.0,0.018,2,14,66,8031,0.012,0,1520,15,3193
Wiesenweihe,1,stable,science,STEM.STEM*,de,0.8081,0.0429,28,13,122,7967,0.004,0,1300,6,3411
Mary Baker Eddy,0,contested,culture,Culture.Biography.Biography*,de,0.7491,0.0,4,11,122,8101,0.01,0,2016,12,1555
Gerrard Winstanley,1,stable,culture,Culture.Biography.Biography*,de,2.3148,0.0103,2,7,75,7732,0.0,0,662,5,1522
Dorje Shugden,0,contested,culture,Culture.Philosophy_and_religion,de,3.2489,0.0079,44,7,111,6448,0.002,0,1448,18,3353
Britische Mount-Everest-Expedition 1922,1,stable,culture,Culture.Biography.Biography*,de,5.4859,0.0132,22,14,78,6594,0.004,0,3864,12,3215
Nichtregierungsorganisation,0,contested,politics_history,History_and_Society.Politics_and_government,de,0.7968,0.023,97,25,238,5427,0.03,0,937,19,6021
Straßenbahn München Baureihe R,1,stable,politics_history,History_and_Society.Transportation,de,2.0367,0.0383,83,17,91,5115,0.026,0,10489,18,5812
