feature,contested_title,stable_title,contested_value,stable_value,diff
f4_current_ratio_min3,Evolutionärer Humanismus,Ästhetische Theorie,0.0,0.0,0.0
f4_current_ratio_min3,Fluglärm,Spezielle Relativitätstheorie,0.0,0.041666666666666664,-0.041666666666666664
f4_current_ratio_min3,Geschichte der Volksrepublik China,Neukirchen (Gemeinde Altmünster),0.1,0.0,0.1
f4_current_ratio_min3,Karl Haushofer,Jüdisches Museum Westfalen,0.25,0.2,0.04999999999999999
f4_current_ratio_min3,Westdeutsche Studentenbewegung der 1960er Jahre,Schloss Beuggen,0.3333333333333333,0.375,-0.041666666666666685
f4_current_ratio_min3,Multikulturalismus,Jiang Wei,0.0,0.3333333333333333,-0.3333333333333333
f4_current_ratio_min3,Witness Lee,Curling,0.0,0.0,0.0
f4_current_ratio_min3,GEMA-freie Musik,Landmine,0.0,0.0,0.0
f4_current_ratio_min3,Tuileriensturm,Christian Precht,0.3333333333333333,0.0,0.3333333333333333
f4_current_ratio_min3,Beichte,Francis Bacon,0.09090909090909091,0.28,-0.18909090909090912
f4_current_ratio_min3,Liber AL vel Legis,Picket Fences – Tatort Gartenzaun,0.07407407407407407,0.2222222222222222,-0.14814814814814814
f4_current_ratio_min3,Klassenpolitik,Tabernae (Rheinzabern),0.1,0.0,0.1
f4_current_ratio_min3,Tiroler Festspiele Erl,Slughorn,0.6,0.25,0.35
f4_current_ratio_min3,Lindisfarne Castle,Eliezer Ben-Jehuda,0.0,0.25,-0.25
f4_current_ratio_min3,Wandervogel,Ziehenschule,0.2857142857142857,0.09090909090909091,0.1948051948051948
f4_current_ratio_min3,Franz Ruppert,Wilhelm Kühnert,0.0,0.0,0.0
f4_current_ratio_min3,Sanktuarium der Barmherzigkeit Gottes,GateKeeper (Cedar Point),0.0,0.0,0.0
f4_current_ratio_min3,Klaus Berger (Theologe),Elias Canetti,0.25,0.0,0.25
f4_current_ratio_min3,Wilhelm Aumer,Geneviève Thiroux d’Arconville,0.3333333333333333,0.0,0.3333333333333333
f4_current_ratio_min3,Bund des russischen Volkes,Dschabal Sindschar,0.0,0.0,0.0
f4_current_ratio_min3,Ökostrom,Physikalische Größe,0.0,0.0,0.0
f4_current_ratio_min3,Holy Spirit,Ringo (Ballade),0.0,0.0,0.0
f4_current_ratio_min3,Naturwissenschaft und Religion,Metallica (Album),0.10526315789473684,0.0,0.10526315789473684
f4_current_ratio_min3,Angela Merici,Fish and Chips,0.0,0.3333333333333333,-0.3333333333333333
f4_current_ratio_min3,Politikverdrossenheit,George Mason,0.42857142857142855,0.0,0.42857142857142855
f4_current_ratio_min3,Nursultan Nasarbajew,Diolkos,0.25,0.07692307692307693,0.17307692307692307
f4_current_ratio_min3,Unicredit Bank Austria,Kloster Himmelkron,0.0,0.0,0.0
f4_current_ratio_min3,Judentum in Afrika,LGV Est européenne,0.3684210526315789,0.0,0.3684210526315789
f4_current_ratio_min3,Neukirchen-Vluyn,George Appo,0.0,0.17647058823529413,-0.17647058823529413
f4_current_ratio_min3,Ilse Schwidetzky,Soliman (Elefant),0.3333333333333333,0.16666666666666666,0.16666666666666666
f4_current_ratio_min3,Transzendentale Meditation,Ammonios Hermeiou,0.4,0.4166666666666667,-0.016666666666666663
f4_current_ratio_min3,Wasser-Abrasiv-Suspensions-Strahlschneiden,Kleine Magellansche Wolke,0.0,0.0,0.0
f4_current_ratio_min3,Propaganda im Ersten Weltkrieg,Zwinger (Münster),0.2,0.0,0.2
f4_current_ratio_min3,Babylon A.D.,Richard Laymon,0.0,0.0,0.0
f4_current_ratio_min3,Sexhandel in Thailand,Bruno Büchner,0.0,0.0,0.0
f4_current_ratio_min3,Staat,Computerbetrug,0.0,0.16666666666666666,-0.16666666666666666
f4_current_ratio_min3,Partidul Social Democrat European,Philokartie,0.0,0.0,0.0
f4_current_ratio_min3,EU-Erweiterung 2004,Handelsgeschäft,0.0,0.0,0.0
f4_current_ratio_min3,Neokatechumenaler Weg,Günther Anders,0.16666666666666666,0.07142857142857142,0.09523809523809523
f4_current_ratio_min3,Die Zeitgeist-Bewegung,Basfia succiniciproducens,0.2857142857142857,0.0,0.2857142857142857
f4_current_ratio_min3,Tempolimit,Lift-off-Verfahren,0.0,0.0,0.0
f4_current_ratio_min3,Sklavenhandel,Panzerhaubitze 2000,0.0,0.0,0.0
f4_current_ratio_min3,The Third Wave,Regenbaum,0.3333333333333333,0.0,0.3333333333333333
f4_current_ratio_min3,Substanzinduzierte Psychose,Wechselwirkende Galaxien,0.0,0.0,0.0
f4_current_ratio_min3,Das sogenannte Böse,Gänsegeier,0.0,0.0,0.0
f4_current_ratio_min3,Alexander-Technik,Ringelröteln,0.25,0.0,0.25
f4_current_ratio_min2,Evolutionärer Humanismus,Ästhetische Theorie,0.0,0.0,0.0
f4_current_ratio_min2,Fluglärm,Spezielle Relativitätstheorie,0.0,0.041666666666666664,-0.041666666666666664
f4_current_ratio_min2,Geschichte der Volksrepublik China,Neukirchen (Gemeinde Altmünster),0.1,0.0,0.1
f4_current_ratio_min2,Karl Haushofer,Jüdisches Museum Westfalen,0.25,0.2,0.04999999999999999
f4_current_ratio_min2,Westdeutsche Studentenbewegung der 1960er Jahre,Schloss Beuggen,0.3333333333333333,0.375,-0.041666666666666685
f4_current_ratio_min2,Multikulturalismus,Jiang Wei,0.0,0.3333333333333333,-0.3333333333333333
f4_current_ratio_min2,Witness Lee,Curling,0.0,0.0,0.0
f4_current_ratio_min2,GEMA-freie Musik,Landmine,0.0,0.0,0.0
f4_current_ratio_min2,Tuileriensturm,Christian Precht,0.3333333333333333,0.0,0.3333333333333333
f4_current_ratio_min2,Beichte,Francis Bacon,0.09090909090909091,0.28,-0.18909090909090912
f4_current_ratio_min2,Liber AL vel Legis,Picket Fences – Tatort Gartenzaun,0.07407407407407407,0.2222222222222222,-0.14814814814814814
f4_current_ratio_min2,"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",Wälder und Wiesen bei Malsch,0.03571428571428571,0.0,0.03571428571428571
f4_current_ratio_min2,Humanitäre Intervention,Projekt A119,0.0,0.1111111111111111,-0.1111111111111111
f4_current_ratio_min2,Weltraumhabitat,Raffinerieexplosion in Texas City,0.0,0.1,-0.1
f4_current_ratio_min2,Klassenpolitik,Tabernae (Rheinzabern),0.1,0.0,0.1
f4_current_ratio_min2,Tiroler Festspiele Erl,Slughorn,0.6,0.25,0.35
f4_current_ratio_min2,Lindisfarne Castle,Eliezer Ben-Jehuda,0.0,0.25,-0.25
f4_current_ratio_min2,Spervogelton,Year Zero,0.125,0.0,0.125
f4_current_ratio_min2,Wandervogel,Ziehenschule,0.2857142857142857,0.09090909090909091,0.1948051948051948
