Feature,Column,Contested mean,Stable mean,Percent difference,NaN rate,Saturation rate >0.90,n_pairs,mean_pair_diff,pct_contested_higher,wilcoxon_p,effect_r,logistic_coefficient,macro_f1_with_f5_topic,macro_f1_topic_baseline,macro_f1_contribution,n_model_rows
Original F5 reproduced,f5_original_reproduced,0.9897992957746479,0.9920475177304963,-0.22662442205645558,0.0035211267605633804,0.9929328621908127,141,-0.002320567375886521,24.113475177304963,0.021369823602035848,0.6179730830810091,0.1317195395842507,0.4520288429314546,0.41135250245087746,0.04067634048057717,283
Revised F5,f5_revised,0.8761838028169012,0.9003929078014185,-2.688726748941616,0.0035211267605633804,0.5724381625441696,141,-0.02439787234042553,39.00709219858156,0.010702820163036225,0.22488292674172186,0.27020511348490533,0.5255805455292981,0.41135250245087746,0.11422804307842066,283
