feature,contested_title,stable_title,contested_value,stable_value,diff
f5_original_reproduced,Evolutionärer Humanismus,Ästhetische Theorie,0.9464,0.9756,-0.029200000000000004
f5_original_reproduced,Franz Eibel,Wieladingen (Adelsgeschlecht),1.0,1.0,0.0
f5_original_reproduced,Fluglärm,Spezielle Relativitätstheorie,1.0,0.9784,0.021599999999999953
f5_original_reproduced,Armenisch-iranische Beziehungen,Absturz einer MiG-21 in Cottbus 1975,1.0,1.0,0.0
f5_original_reproduced,Geschichte der Volksrepublik China,Neukirchen (Gemeinde Altmünster),1.0,1.0,0.0
f5_original_reproduced,Karl Haushofer,Jüdisches Museum Westfalen,0.994,1.0,-0.006000000000000005
f5_original_reproduced,Mobile Jugendarbeit,Mayaguez-Zwischenfall,0.9868,1.0,-0.01319999999999999
f5_original_reproduced,Elektrokonvulsionstherapie,Spirostachys africana,0.9857,1.0,-0.01429999999999998
f5_original_reproduced,Westdeutsche Studentenbewegung der 1960er Jahre,Schloss Beuggen,0.996,1.0,-0.0040000000000000036
f5_original_reproduced,Ernst Melchior,Vincenz Grimm,1.0,1.0,0.0
f5_original_reproduced,Backhefe,Wellensittich,1.0,0.975,0.025000000000000022
f5_original_reproduced,Multikulturalismus,Jiang Wei,0.96,1.0,-0.040000000000000036
f5_original_reproduced,Zeitfreiwilligenverband,Soo Line High Bridge,1.0,1.0,0.0
f5_original_reproduced,Witness Lee,Curling,0.9675,0.9939,-0.02639999999999998
f5_original_reproduced,Alois Windisch,U-Boot mit Marschflugkörpern,1.0,1.0,0.0
f5_original_reproduced,GEMA-freie Musik,Landmine,0.9481,0.9948,-0.046699999999999964
f5_original_reproduced,Tuileriensturm,Christian Precht,0.9929,0.9924,0.000500000000000056
f5_original_reproduced,Beichte,Francis Bacon,0.9871,0.988,-0.0009000000000000119
f5_original_reproduced,Liber AL vel Legis,Picket Fences – Tatort Gartenzaun,0.9619,1.0,-0.03810000000000002
f5_original_reproduced,"Chronik des Kriegs in Nahost, Dezember 2024 und Januar 2025",Wälder und Wiesen bei Malsch,1.0,0.9891,0.01090000000000002
f5_original_reproduced,Institut für Zeitgeschichte,Urnenfelderkultur,1.0,1.0,0.0
f5_original_reproduced,Humanitäre Intervention,Projekt A119,0.9677,1.0,-0.032299999999999995
f5_original_reproduced,Weltraumhabitat,Raffinerieexplosion in Texas City,0.9924,1.0,-0.007600000000000051
f5_original_reproduced,Klassenpolitik,Tabernae (Rheinzabern),1.0,1.0,0.0
f5_original_reproduced,Kennedy-Methode,Galle,0.9773,1.0,-0.022700000000000053
f5_original_reproduced,Tiroler Festspiele Erl,Slughorn,1.0,1.0,0.0
f5_original_reproduced,Heinrich von Brentano,Geschmackliche Schärfe,1.0,0.9821,0.017900000000000027
f5_original_reproduced,Bulgarische Wiedergeburt,Elisabeth von Weida,0.9889,1.0,-0.011099999999999999
f5_original_reproduced,Schulweg,Operation Earnest Will,1.0,1.0,0.0
f5_original_reproduced,Lindisfarne Castle,Eliezer Ben-Jehuda,1.0,1.0,0.0
f5_original_reproduced,Apadravya,Laufhühnchen,1.0,0.9888,0.011199999999999988
f5_original_reproduced,Spervogelton,Year Zero,1.0,1.0,0.0
f5_original_reproduced,MHealth,Fraktursonografie,1.0,1.0,0.0
f5_original_reproduced,Sozionik und intertypische Beziehungen,Porsche 930,0.9831,1.0,-0.016900000000000026
f5_original_reproduced,Bürgerversicherung,Grunewaldsee,1.0,1.0,0.0
f5_original_reproduced,Kuno Raeber,Garfield Akers,1.0,1.0,0.0
f5_original_reproduced,Wandervogel,Ziehenschule,0.9739,0.9953,-0.021399999999999975
f5_original_reproduced,GS1,"Seawolf (U-Boot, 1957)",1.0,1.0,0.0
f5_original_reproduced,Franz Ruppert,Wilhelm Kühnert,0.9853,0.95,0.0353
f5_original_reproduced,Sanktuarium der Barmherzigkeit Gottes,GateKeeper (Cedar Point),0.9911,1.0,-0.008900000000000019
f5_original_reproduced,Disneyland Park (Paris),Ismar Boas,1.0,1.0,0.0
f5_original_reproduced,Entführung von Michal Kováč jun.,East Brother Light Station,0.9935,0.9875,0.006000000000000005
f5_original_reproduced,Wiktor Juschtschenko,Bremer Wappen,0.9762,0.9778,-0.0016000000000000458
f5_original_reproduced,International Christian Fellowship,Gresgen,1.0,1.0,0.0
f5_original_reproduced,Uniface,Wiesenweihe,0.9929,1.0,-0.007099999999999995
f5_original_reproduced,Mary Baker Eddy,Gerrard Winstanley,1.0,1.0,0.0
f5_original_reproduced,Dorje Shugden,Britische Mount-Everest-Expedition 1922,0.9792,1.0,-0.02080000000000004
f5_original_reproduced,Nichtregierungsorganisation,Straßenbahn München Baureihe R,0.9333,1.0,-0.06669999999999998
f5_original_reproduced,HolidayCheck Group,Drehstrom-Versuchsstrecke Groß-Lichterfelde–Zehlendorf,1.0,1.0,0.0
f5_original_reproduced,Ifo-Geschäftsklimaindex,Halsamphora des Exekias (Berlin F 1720),1.0,1.0,0.0
f5_original_reproduced,Klaus Berger (Theologe),Elias Canetti,0.9822,0.9853,-0.0030999999999999917
f5_original_reproduced,Fußball in England,Uralische Sprachen,0.9935,0.9821,0.011400000000000077
f5_original_reproduced,Wilhelm Aumer,Geneviève Thiroux d’Arconville,0.9851,1.0,-0.014900000000000024
f5_original_reproduced,Bund des russischen Volkes,Dschabal Sindschar,0.989,1.0,-0.01100000000000001
f5_original_reproduced,Kaufmännischer Verband Schweiz,Lendkanal,0.9545,0.9861,-0.03159999999999996
f5_original_reproduced,Erzgebirgischer Schwibbogen,Tokugawa Ieyasu,0.9677,1.0,-0.032299999999999995
f5_original_reproduced,Kameralistik,Parkeisenbahn Wuhlheide,0.9948,1.0,-0.005199999999999982
f5_original_reproduced,Street Football/Episodenliste,Apatheia,0.995,0.8168,0.17820000000000003
f5_original_reproduced,Revisionismus,Oliver-Hazard-Perry-Klasse,0.9559,1.0,-0.04410000000000003
f5_original_reproduced,Ökostrom,Physikalische Größe,0.995,0.9841,0.01090000000000002
f5_original_reproduced,Holy Spirit,Ringo (Ballade),1.0,1.0,0.0
f5_original_reproduced,Etikettierungsansatz,Yorktown-Klasse (1937),1.0,1.0,0.0
f5_original_reproduced,Michael Vassiliadis,Catarina (Schiff),1.0,1.0,0.0
f5_original_reproduced,Parov Stelar,Édouard Nanny,1.0,1.0,0.0
f5_original_reproduced,Reinhold Tüxen,Carrara-Marmor,1.0,1.0,0.0
f5_original_reproduced,Naturwissenschaft und Religion,Metallica (Album),1.0,1.0,0.0
f5_original_reproduced,Angela Merici,Fish and Chips,0.9932,0.9851,0.008099999999999996
f5_original_reproduced,Biphobie,Fester Wechselkurs,0.98,1.0,-0.020000000000000018
f5_original_reproduced,Troy Davis,"Dorsetshire (Schiff, 1930)",0.9859,1.0,-0.014100000000000001
f5_original_reproduced,Oberösterreichische Versicherung,Lubok,1.0,1.0,0.0
f5_original_reproduced,Kornische Sprache,Buch Tobit,0.9831,0.9864,-0.0033000000000000806
f5_original_reproduced,George Peabody,George Alsop,1.0,0.9836,0.01639999999999997
f5_original_reproduced,Politikverdrossenheit,George Mason,0.9657,0.9868,-0.021100000000000008
f5_original_reproduced,Nursultan Nasarbajew,Diolkos,1.0,1.0,0.0
f5_original_reproduced,Biofeedback,Theorie der endlichen Kugelpackungen,1.0,0.9872,0.012800000000000034
f5_original_reproduced,Kindertagesbetreuung,Wieslauftalbahn,1.0,1.0,0.0
f5_original_reproduced,Geschichte Äquatorialguineas,Mesolongi,1.0,0.9943,0.005700000000000038
f5_original_reproduced,Self Storage,Adolf von Kröner,1.0,1.0,0.0
f5_original_reproduced,Thomas Ball Barratt,Madlax,0.9876,0.9917,-0.0040999999999999925
f5_original_reproduced,"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",Fünfjahrplan (Briefmarkenserie),0.9888,0.9692,0.019600000000000062
f5_original_reproduced,Unicredit Bank Austria,Kloster Himmelkron,1.0,1.0,0.0
f5_original_reproduced,Politisches System Japans,Craters of the Moon National Monument,0.9669,1.0,-0.03310000000000002
f5_original_reproduced,Al-Andalus,Basler Fasnacht,1.0,0.9856,0.014399999999999968
f5_original_reproduced,Judentum in Afrika,LGV Est européenne,1.0,0.9957,0.0042999999999999705
f5_original_reproduced,Nornickel,Schwarzwaldbahn (Baden),1.0,0.9932,0.006800000000000028
f5_original_reproduced,Data Loss Prevention,Bonnetiaceae,0.9839,1.0,-0.016100000000000003
f5_original_reproduced,Ahmad Schah Massoud,S-Bahn Zürich,0.9913,1.0,-0.008700000000000041
f5_original_reproduced,Andor Ákos,Deutsche Bank Park,0.9786,0.9947,-0.016100000000000003
f5_original_reproduced,Massivholzbau,Zielratte,0.9767,0.8571,0.11960000000000004
f5_original_reproduced,Israelitische Synagogen-Gemeinde Adass Jisroel zu Berlin,Parochialkirche (Berlin),0.9866,1.0,-0.013399999999999967
f5_original_reproduced,Bernd Kebelmann,Halo-System,0.9615,1.0,-0.03849999999999998
f5_original_reproduced,Austerität,Georges Scelle,0.9909,0.9783,0.012600000000000056
f5_original_reproduced,Montessori Biberkor,Bruttoinlandsprodukt,1.0,0.9937,0.006299999999999972
f5_original_reproduced,Neukirchen-Vluyn,George Appo,0.9895,0.9943,-0.0047999999999999154
f5_original_reproduced,Gesellschaft für Unternehmensgeschichte,"Trier, Stadtbibliothek, Hs. 171/1626",1.0,0.9688,0.031200000000000006
f5_original_reproduced,Ilse Schwidetzky,Soliman (Elefant),1.0,1.0,0.0
f5_original_reproduced,Wuestenstrom,Queen-Elizabeth-Klasse (2017),1.0,1.0,0.0
f5_original_reproduced,Transzendentale Meditation,Ammonios Hermeiou,0.9808,0.9586,0.022199999999999998
f5_original_reproduced,Monocab,Pont Ferroviaire Saint-Laurent,1.0,1.0,0.0
f5_original_reproduced,TransPod,Richomer,1.0,1.0,0.0
f5_original_reproduced,Wasser-Abrasiv-Suspensions-Strahlschneiden,Kleine Magellansche Wolke,0.9906,1.0,-0.009399999999999964
f5_original_reproduced,Propaganda im Ersten Weltkrieg,Zwinger (Münster),0.993,1.0,-0.007000000000000006
f5_original_reproduced,Dräxlmaier,Brinkmanship,1.0,0.9792,0.02080000000000004
f5_original_reproduced,Schulpflicht,Straßenbahn München Baureihe S,0.9726,1.0,-0.02739999999999998
f5_original_reproduced,Babylon A.D.,Richard Laymon,0.9167,1.0,-0.08330000000000004
f5_original_reproduced,Fraunhofer-Institut für Keramische Technologien und Systeme,Solanum subg. Leptostemonum,1.0,0.9811,0.018900000000000028
f5_original_reproduced,Sexhandel in Thailand,Bruno Büchner,1.0,1.0,0.0
f5_original_reproduced,Deutsche Steinzeug Cremer & Breuer,Wittem-Projekt,1.0,0.9911,0.008900000000000019
f5_original_reproduced,Große Hungersnot in Irland,Teltow-Werft,0.9935,1.0,-0.00649999999999995
f5_original_reproduced,Staat,Computerbetrug,0.9758,0.9707,0.005099999999999993
f5_original_reproduced,Ludwig-Boltzmann-Institut für Funktionelle Hirntopographie,Drahtgewebe (Filtration),1.0,1.0,0.0
f5_original_reproduced,Partidul Social Democrat European,Philokartie,1.0,1.0,0.0
f5_original_reproduced,Atari Teenage Riot,Cindy Sherman,0.9888,0.9851,0.0037000000000000366
f5_original_reproduced,Schlacht im Ia-Drang-Tal,Chinesische Volksbank,0.9886,0.9767,0.011900000000000022
f5_original_reproduced,Hamburg Commercial Bank,Korsika im Altertum,1.0,0.9851,0.014900000000000024
f5_original_reproduced,Helmtherapie,Acherontia lachesis,1.0,1.0,0.0
f5_original_reproduced,EU-Erweiterung 2004,Handelsgeschäft,0.987,0.9839,0.0030999999999999917
f5_original_reproduced,Neokatechumenaler Weg,Günther Anders,0.9815,0.9826,-0.0010999999999999899
f5_original_reproduced,Chartered Institute for Archaeologists,Philadelphia and Reading Railroad Bridge (Susquehanna River),0.9722,1.0,-0.027800000000000047
f5_original_reproduced,Neue Kadampa-Tradition,Weinbau in Kanada,0.9904,1.0,-0.009600000000000053
f5_original_reproduced,Timotheus Höttges,Josephus Daniels (Schiff),0.9836,1.0,-0.01639999999999997
f5_original_reproduced,Luftlager,Löffelhund,0.9796,1.0,-0.020399999999999974
f5_original_reproduced,Die Zeitgeist-Bewegung,Basfia succiniciproducens,0.9692,1.0,-0.03080000000000005
f5_original_reproduced,Tempolimit,Lift-off-Verfahren,1.0,1.0,0.0
f5_original_reproduced,Iqos,ASB Bridge,1.0,1.0,0.0
f5_original_reproduced,Sklavenhandel,Panzerhaubitze 2000,1.0,1.0,0.0
f5_original_reproduced,The Third Wave,Regenbaum,1.0,1.0,0.0
f5_original_reproduced,Verelendungstheorie,Big-Mac-Index,0.9855,0.9792,0.006300000000000083
f5_original_reproduced,Jüngere Dryaszeit,Keilzinkung,1.0,1.0,0.0
f5_original_reproduced,Gestalttherapie,Katalyse,0.9703,0.995,-0.024699999999999944
f5_original_reproduced,Küchenabfallzerkleinerer,Kauffmann-White-Schema,1.0,1.0,0.0
f5_original_reproduced,Kurort,Schäbe,1.0,1.0,0.0
f5_original_reproduced,Substanzinduzierte Psychose,Wechselwirkende Galaxien,1.0,1.0,0.0
f5_original_reproduced,Das sogenannte Böse,Gänsegeier,0.9938,0.9692,0.024600000000000066
