model,n_rows,n_features_without_topic_controls,n_topic_controls,accuracy,macro_f1,roc_auc,baseline_accuracy
Original available,150,6,3,0.5466666666666666,0.545940170940171,0.6271428571428572,0.5333333333333333
Improved available,282,6,3,0.624113475177305,0.6240945674044266,0.6591046277665996,0.5035460992907801
