Metric,Original Model,Improved Model,Delta
Rows used,150.0,282.0,132.0
Accuracy,0.5466666666666666,0.624113475177305,0.07744680851063834
Macro F1,0.545940170940171,0.6240945674044266,0.0781543964642556
ROC-AUC,0.6271428571428572,0.6591046277665996,0.03196177062374239
Baseline accuracy,0.5333333333333333,0.5035460992907801,-0.029787234042553234
