Metric,Original Model,Improved Model,Delta
Rows used,150.0,150.0,0.0
Accuracy,0.5466666666666666,0.6066666666666667,0.06000000000000005
Macro F1,0.545940170940171,0.6036899377546907,0.05774976681451971
ROC-AUC,0.6271428571428572,0.6364285714285713,0.00928571428571412
Baseline accuracy,0.5333333333333333,0.5333333333333333,0.0
